Apr  2 20:42:51.049 2021@LM_INFO@  active LogDBCenterTask[1] succ!
Apr  2 20:42:51.350 2021@LM_INFO@get_table_no, cur_time:1617410571, table_no:20210402
Apr  2 20:42:59.388 2021@LM_ERROR@DB Error:[1064]:You have an error in your SQL syntax; check the manual that corresponds to your MySQL server version for the right syntax to use near 'INT DEFAULT 0,role_level         INT DEFAULT 0,role_vip_level     INT DEFAULT 0,' at line 1.
Apr  2 21:55:45.064 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414945, set_id=1, svr_type=3, svr_id=1000001, cache_type=703, cache_capa=181639, cache_size=0; 
Apr  2 21:55:45.315 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414945, set_id=11, svr_type=9, svr_id=1001101, cache_type=12, cache_capa=5021, cache_size=0; 
Apr  2 21:55:45.318 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414945, set_id=11, svr_type=9, svr_id=1001101, cache_type=13, cache_capa=2027, cache_size=0; 
Apr  2 21:55:45.327 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414945, set_id=11, svr_type=9, svr_id=1001101, cache_type=14, cache_capa=1019, cache_size=0; 
Apr  2 21:55:46.312 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414946, set_id=11, svr_type=9, svr_id=1001101, cache_type=1, cache_capa=21101, cache_size=0; 
Apr  2 21:55:46.316 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414946, set_id=11, svr_type=9, svr_id=1001101, cache_type=2, cache_capa=12289, cache_size=0; 
Apr  2 21:55:46.323 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414946, set_id=11, svr_type=9, svr_id=1001101, cache_type=3, cache_capa=389, cache_size=0; 
Apr  2 21:55:46.408 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414946, set_id=1, svr_type=20, svr_id=1000001, cache_type=601, cache_capa=10139, cache_size=0; 
Apr  2 21:55:46.481 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414946, set_id=1, svr_type=11, svr_id=1001101, cache_type=512, cache_capa=4019, cache_size=2; 
Apr  2 21:55:47.036 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414947, set_id=1, svr_type=6, svr_id=1000001, cache_type=801, cache_capa=256, cache_size=1; 
Apr  2 21:55:47.312 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414947, set_id=11, svr_type=9, svr_id=1001101, cache_type=15, cache_capa=5021, cache_size=0; 
Apr  2 21:55:47.316 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414947, set_id=11, svr_type=9, svr_id=1001101, cache_type=16, cache_capa=53657, cache_size=0; 
Apr  2 21:55:47.478 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414947, set_id=1, svr_type=11, svr_id=1001101, cache_type=513, cache_capa=1543, cache_size=0; 
Apr  2 21:55:47.482 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414947, set_id=1, svr_type=11, svr_id=1001101, cache_type=514, cache_capa=1543, cache_size=0; 
Apr  2 21:55:48.312 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414948, set_id=11, svr_type=9, svr_id=1001101, cache_type=18, cache_capa=769, cache_size=0; 
Apr  2 21:55:48.473 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414948, set_id=1, svr_type=11, svr_id=1001101, cache_type=515, cache_capa=4019, cache_size=0; 
Apr  2 21:55:49.322 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414949, set_id=11, svr_type=9, svr_id=1001101, cache_type=20, cache_capa=2027, cache_size=0; 
Apr  2 21:55:49.509 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414949, set_id=11, svr_type=11, svr_id=1001101, cache_type=516, cache_capa=389, cache_size=0; 
Apr  2 21:55:50.057 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414950, set_id=1, svr_type=3, svr_id=1000001, cache_type=702, cache_capa=2027, cache_size=1; 
Apr  2 21:55:50.061 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414950, set_id=1, svr_type=3, svr_id=1000001, cache_type=703, cache_capa=181639, cache_size=0; 
Apr  2 21:55:50.313 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414950, set_id=11, svr_type=9, svr_id=1001101, cache_type=19, cache_capa=1019, cache_size=0; 
Apr  2 21:55:51.503 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414951, set_id=1, svr_type=11, svr_id=1001101, cache_type=517, cache_capa=389, cache_size=0; 
Apr  2 21:55:51.954 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414951, set_id=1, svr_type=15, svr_id=1000001, cache_type=201, cache_capa=53, cache_size=15; 
Apr  2 21:55:52.044 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414952, set_id=1, svr_type=6, svr_id=1000001, cache_type=802, cache_capa=101051, cache_size=2; 
Apr  2 21:55:52.476 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414952, set_id=1, svr_type=11, svr_id=1001101, cache_type=518, cache_capa=1019, cache_size=0; 
Apr  2 21:55:53.207 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414953, set_id=1, svr_type=5, svr_id=1000001, cache_type=401, cache_capa=3079, cache_size=0; 
Apr  2 21:55:53.315 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414953, set_id=11, svr_type=9, svr_id=1001101, cache_type=21, cache_capa=2027, cache_size=0; 
Apr  2 21:55:53.876 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414953, set_id=1, svr_type=12, svr_id=1000001, cache_type=701, cache_capa=1019, cache_size=0; 
Apr  2 21:55:54.316 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414954, set_id=11, svr_type=9, svr_id=1001101, cache_type=5, cache_capa=769, cache_size=0; 
Apr  2 21:55:54.319 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414954, set_id=11, svr_type=9, svr_id=1001101, cache_type=6, cache_capa=6291469, cache_size=0; 
Apr  2 21:55:54.329 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414954, set_id=11, svr_type=9, svr_id=1001101, cache_type=7, cache_capa=4076, cache_size=0; 
Apr  2 21:55:54.340 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414954, set_id=11, svr_type=9, svr_id=1001101, cache_type=8, cache_capa=5021, cache_size=0; 
Apr  2 21:55:54.350 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414954, set_id=11, svr_type=9, svr_id=1001101, cache_type=9, cache_capa=21101, cache_size=0; 
Apr  2 21:55:54.360 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414954, set_id=11, svr_type=9, svr_id=1001101, cache_type=10, cache_capa=389, cache_size=0; 
Apr  2 21:55:54.987 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414954, set_id=1, svr_type=17, svr_id=1000001, cache_type=101, cache_capa=769, cache_size=0; 
Apr  2 21:55:55.057 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414955, set_id=1, svr_type=3, svr_id=1000001, cache_type=702, cache_capa=2027, cache_size=1; 
Apr  2 21:55:55.060 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414955, set_id=1, svr_type=3, svr_id=1000001, cache_type=703, cache_capa=181639, cache_size=0; 
Apr  2 21:55:55.313 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414955, set_id=11, svr_type=9, svr_id=1001101, cache_type=11, cache_capa=21101, cache_size=0; 
Apr  2 21:55:56.312 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414956, set_id=11, svr_type=9, svr_id=1001101, cache_type=4, cache_capa=1019, cache_size=0; 
Apr  2 21:55:56.385 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414956, set_id=1, svr_type=20, svr_id=1000001, cache_type=601, cache_capa=10139, cache_size=0; 
Apr  2 21:55:56.474 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414956, set_id=1, svr_type=11, svr_id=1001101, cache_type=508, cache_capa=2027, cache_size=0; 
Apr  2 21:55:57.037 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414957, set_id=1, svr_type=6, svr_id=1000001, cache_type=801, cache_capa=256, cache_size=1; 
Apr  2 21:55:57.322 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414957, set_id=11, svr_type=9, svr_id=1001101, cache_type=17, cache_capa=389, cache_size=0; 
Apr  2 21:55:57.474 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414957, set_id=1, svr_type=11, svr_id=1001101, cache_type=503, cache_capa=3079, cache_size=0; 
Apr  2 21:55:57.477 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414957, set_id=1, svr_type=11, svr_id=1001101, cache_type=504, cache_capa=53, cache_size=0; 
Apr  2 21:55:57.487 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414957, set_id=1, svr_type=11, svr_id=1001101, cache_type=505, cache_capa=10139, cache_size=0; 
Apr  2 21:55:58.315 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414958, set_id=11, svr_type=9, svr_id=1001101, cache_type=12, cache_capa=5021, cache_size=0; 
Apr  2 21:55:58.320 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414958, set_id=11, svr_type=9, svr_id=1001101, cache_type=13, cache_capa=2027, cache_size=0; 
Apr  2 21:55:58.332 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414958, set_id=11, svr_type=9, svr_id=1001101, cache_type=14, cache_capa=1019, cache_size=0; 
Apr  2 21:55:58.473 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414958, set_id=1, svr_type=11, svr_id=1001101, cache_type=502, cache_capa=389, cache_size=1; 
Apr  2 21:55:59.320 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414959, set_id=11, svr_type=9, svr_id=1001101, cache_type=1, cache_capa=21101, cache_size=0; 
Apr  2 21:55:59.324 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414959, set_id=11, svr_type=9, svr_id=1001101, cache_type=2, cache_capa=12289, cache_size=0; 
Apr  2 21:55:59.334 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414959, set_id=11, svr_type=9, svr_id=1001101, cache_type=3, cache_capa=389, cache_size=0; 
Apr  2 21:55:59.471 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414959, set_id=1, svr_type=11, svr_id=1001101, cache_type=506, cache_capa=10139, cache_size=0; 
Apr  2 21:55:59.478 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414959, set_id=1, svr_type=11, svr_id=1001101, cache_type=507, cache_capa=10139, cache_size=0; 
Apr  2 21:56:00.059 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414960, set_id=1, svr_type=3, svr_id=1000001, cache_type=702, cache_capa=2027, cache_size=1; 
Apr  2 21:56:00.067 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414960, set_id=1, svr_type=3, svr_id=1000001, cache_type=703, cache_capa=181639, cache_size=0; 
Apr  2 21:56:00.316 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414960, set_id=11, svr_type=9, svr_id=1001101, cache_type=15, cache_capa=5021, cache_size=0; 
Apr  2 21:56:00.319 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414960, set_id=11, svr_type=9, svr_id=1001101, cache_type=16, cache_capa=53657, cache_size=0; 
Apr  2 21:56:01.316 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414961, set_id=11, svr_type=9, svr_id=1001101, cache_type=18, cache_capa=769, cache_size=0; 
Apr  2 21:56:01.497 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414961, set_id=1, svr_type=11, svr_id=1001101, cache_type=510, cache_capa=1019, cache_size=1; 
Apr  2 21:56:01.953 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414961, set_id=1, svr_type=15, svr_id=1000001, cache_type=201, cache_capa=53, cache_size=15; 
Apr  2 21:56:02.037 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414962, set_id=1, svr_type=6, svr_id=1000001, cache_type=802, cache_capa=101051, cache_size=2; 
Apr  2 21:56:02.331 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414962, set_id=11, svr_type=9, svr_id=1001101, cache_type=20, cache_capa=2027, cache_size=0; 
Apr  2 21:56:02.473 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414962, set_id=1, svr_type=11, svr_id=1001101, cache_type=501, cache_capa=10139, cache_size=3; 
Apr  2 21:56:03.206 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414963, set_id=1, svr_type=5, svr_id=1000001, cache_type=401, cache_capa=3079, cache_size=0; 
Apr  2 21:56:03.315 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414963, set_id=11, svr_type=9, svr_id=1001101, cache_type=19, cache_capa=1019, cache_size=0; 
Apr  2 21:56:03.929 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414963, set_id=1, svr_type=12, svr_id=1000001, cache_type=701, cache_capa=1019, cache_size=0; 
Apr  2 21:56:04.515 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414964, set_id=1, svr_type=11, svr_id=1001101, cache_type=512, cache_capa=4019, cache_size=2; 
Apr  2 21:56:05.013 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414964, set_id=1, svr_type=17, svr_id=1000001, cache_type=101, cache_capa=769, cache_size=0; 
Apr  2 21:56:05.058 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414965, set_id=1, svr_type=3, svr_id=1000001, cache_type=702, cache_capa=2027, cache_size=1; 
Apr  2 21:56:05.062 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414965, set_id=1, svr_type=3, svr_id=1000001, cache_type=703, cache_capa=181639, cache_size=0; 
Apr  2 21:56:05.478 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414965, set_id=1, svr_type=11, svr_id=1001101, cache_type=513, cache_capa=1543, cache_size=0; 
Apr  2 21:56:05.481 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414965, set_id=1, svr_type=11, svr_id=1001101, cache_type=514, cache_capa=1543, cache_size=0; 
Apr  2 21:56:06.314 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414966, set_id=11, svr_type=9, svr_id=1001101, cache_type=21, cache_capa=2027, cache_size=0; 
Apr  2 21:56:06.386 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414966, set_id=1, svr_type=20, svr_id=1000001, cache_type=601, cache_capa=10139, cache_size=0; 
Apr  2 21:56:06.483 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414966, set_id=1, svr_type=11, svr_id=1001101, cache_type=515, cache_capa=4019, cache_size=0; 
Apr  2 21:56:07.035 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414967, set_id=1, svr_type=6, svr_id=1000001, cache_type=801, cache_capa=256, cache_size=1; 
Apr  2 21:56:07.314 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414967, set_id=11, svr_type=9, svr_id=1001101, cache_type=5, cache_capa=769, cache_size=0; 
Apr  2 21:56:07.318 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414967, set_id=11, svr_type=9, svr_id=1001101, cache_type=6, cache_capa=6291469, cache_size=0; 
Apr  2 21:56:07.327 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414967, set_id=11, svr_type=9, svr_id=1001101, cache_type=7, cache_capa=4076, cache_size=0; 
Apr  2 21:56:07.337 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414967, set_id=11, svr_type=9, svr_id=1001101, cache_type=8, cache_capa=5021, cache_size=0; 
Apr  2 21:56:07.347 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414967, set_id=11, svr_type=9, svr_id=1001101, cache_type=9, cache_capa=21101, cache_size=0; 
Apr  2 21:56:07.355 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414967, set_id=11, svr_type=9, svr_id=1001101, cache_type=10, cache_capa=389, cache_size=0; 
Apr  2 21:56:07.536 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414967, set_id=11, svr_type=11, svr_id=1001101, cache_type=516, cache_capa=389, cache_size=0; 
Apr  2 21:56:08.316 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414968, set_id=11, svr_type=9, svr_id=1001101, cache_type=11, cache_capa=21101, cache_size=0; 
Apr  2 21:56:09.313 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414969, set_id=11, svr_type=9, svr_id=1001101, cache_type=4, cache_capa=1019, cache_size=0; 
Apr  2 21:56:09.475 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414969, set_id=1, svr_type=11, svr_id=1001101, cache_type=517, cache_capa=389, cache_size=0; 
Apr  2 21:56:10.061 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414970, set_id=1, svr_type=3, svr_id=1000001, cache_type=702, cache_capa=2027, cache_size=1; 
Apr  2 21:56:10.067 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414970, set_id=1, svr_type=3, svr_id=1000001, cache_type=703, cache_capa=181639, cache_size=0; 
Apr  2 21:56:10.322 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414970, set_id=11, svr_type=9, svr_id=1001101, cache_type=17, cache_capa=389, cache_size=0; 
Apr  2 21:56:10.474 2021@LM_ERROR@DB Error:[145]:Table './yt_log/cache_report_20210402' is marked as crashed and should be repaired.
 SQL:INSERT INTO yt_log.cache_report_20210402 SET date_time=1617414970, set_id=1, svr_type=11, svr_id=1001101, cache_type=518, cache_capa=1019, cache_size=0; 
